dm32          sin^2(theta23)  DeltaChi2 
0.0018866     0.665           22.040 
0.0018866     0.675           23.916 
0.0018866     0.685           26.030 
0.0018866     0.695           28.395 
0.0018866     0.705           31.027 
0.0018866     0.715           33.939 
0.0018866     0.725           37.144 
0.0018866     0.735           40.653 
0.0018866     0.745           44.475 
0.0019226     0.245           45.742 
0.0019226     0.255           41.546 
0.0019226     0.265           37.678 
0.0019226     0.275           34.130 
0.0019226     0.285           30.892 
0.0019226     0.295           27.954 
0.0019226     0.305           25.302 
0.0019226     0.315           22.925 
0.0019226     0.325           20.807 
0.0019226     0.335           18.934 
0.0019226     0.345           17.289 
0.0019226     0.355           15.857 
0.0019226     0.365           14.621 
0.0019226     0.375           13.564 
0.0019226     0.385           12.669 
0.0019226     0.395           11.920 
0.0019226     0.405           11.301 
0.0019226     0.415           10.797 
0.0019226     0.425           10.394 
0.0019226     0.435           10.077 
0.0019226     0.445            9.835 
0.0019226     0.455            9.658 
0.0019226     0.465            9.535 
0.0019226     0.475            9.460 
0.0019226     0.485            9.426 
0.0019226     0.495            9.430 
0.0019226     0.505            9.468 
0.0019226     0.515            9.541 
0.0019226     0.525            9.651 
0.0019226     0.535            9.800 
0.0019226     0.545            9.994 
0.0019226     0.555           10.241 
0.0019226     0.565           10.547 
0.0019226     0.575           10.925 
0.0019226     0.585           11.386 
0.0019226     0.595           11.941 
0.0019226     0.605           12.607 
0.0019226     0.615           13.397 
0.0019226     0.625           14.327 
0.0019226     0.635           15.414 
0.0019226     0.645           16.675 
0.0019226     0.655           18.125 
0.0019226     0.665           19.783 
0.0019226     0.675           21.664 
0.0019226     0.685           23.785 
0.0019226     0.695           26.160 
0.0019226     0.705           28.806 
0.0019226     0.715           31.735 
0.0019226     0.725           34.960 
0.0019226     0.735           38.492 
0.0019226     0.745           42.343 
0.0019586     0.245           44.041 
0.0019586     0.255           39.813 
0.0019586     0.265           35.916 
0.0019586     0.275           32.343 
0.0019586     0.285           29.083 
0.0019586     0.295           26.126 
0.0019586     0.305           23.458 
0.0019586     0.315           21.068 
0.0019586     0.325           18.939 
0.0019586     0.335           17.057 
0.0019586     0.345           15.406 
0.0019586     0.355           13.968 
0.0019586     0.365           12.729 
0.0019586     0.375           11.669 
0.0019586     0.385           10.773 
0.0019586     0.395           10.024 
0.0019586     0.405            9.405 
0.0019586     0.415            8.901 
0.0019586     0.425            8.497 
0.0019586     0.435            8.181 
0.0019586     0.445            7.939 
0.0019586     0.455            7.761 
0.0019586     0.465            7.637 
0.0019586     0.475            7.559 
0.0019586     0.485            7.523 
0.0019586     0.495            7.523 
0.0019586     0.505            7.557 
0.0019586     0.515            7.625 
0.0019586     0.525            7.728 
0.0019586     0.535            7.871 
0.0019586     0.545            8.058 
0.0019586     0.555            8.296 
0.0019586     0.565            8.594 
0.0019586     0.575            8.963 
0.0019586     0.585            9.415 
0.0019586     0.595            9.962 
0.0019586     0.605           10.619 
0.0019586     0.615           11.401 
0.0019586     0.625           12.324 
0.0019586     0.635           13.405 
0.0019586     0.645           14.661 
0.0019586     0.655           16.108 
0.0019586     0.665           17.764 
0.0019586     0.675           19.646 
0.0019586     0.685           21.770 
0.0019586     0.695           24.151 
0.0019586     0.705           26.805 
0.0019586     0.715           29.745 
0.0019586     0.725           32.985 
0.0019586     0.735           36.536 
0.0019586     0.745           40.408 
0.0019946     0.245           42.532 
0.0019946     0.255           38.278 
0.0019946     0.265           34.358 
0.0019946     0.275           30.765 
0.0019946     0.285           27.488 
0.0019946     0.295           24.516 
0.0019946     0.305           21.837 
0.0019946     0.315           19.437 
0.0019946     0.325           17.301 
0.0019946     0.335           15.414 
0.0019946     0.345           13.760 
0.0019946     0.355           12.321 
0.0019946     0.365           11.080 
0.0019946     0.375           10.021 
0.0019946     0.385            9.125 
