dm32           sin^2(theta23)  DeltaChi2 
-0.0021094     0.335           11.704 
-0.0021094     0.345           10.136 
-0.0021094     0.355            8.776 
-0.0021094     0.365            7.608 
-0.0021094     0.375            6.612 
-0.0021094     0.385            5.773 
-0.0021094     0.395            5.072 
-0.0021094     0.405            4.494 
-0.0021094     0.415            4.023 
-0.0021094     0.425            3.645 
-0.0021094     0.435            3.346 
-0.0021094     0.445            3.115 
-0.0021094     0.455            2.942 
-0.0021094     0.465            2.817 
-0.0021094     0.475            2.735 
-0.0021094     0.485            2.690 
-0.0021094     0.495            2.679 
-0.0021094     0.505            2.701 
-0.0021094     0.515            2.757 
-0.0021094     0.525            2.851 
-0.0021094     0.535            2.986 
-0.0021094     0.545            3.170 
-0.0021094     0.555            3.411 
-0.0021094     0.565            3.718 
-0.0021094     0.575            4.104 
-0.0021094     0.585            4.582 
-0.0021094     0.595            5.165 
-0.0021094     0.605            5.870 
-0.0021094     0.615            6.711 
-0.0021094     0.625            7.705 
-0.0021094     0.635            8.871 
-0.0021094     0.645           10.224 
-0.0021094     0.655           11.782 
-0.0021094     0.665           13.563 
-0.0021094     0.675           15.583 
-0.0021094     0.685           17.858 
-0.0021094     0.695           20.403 
-0.0021094     0.705           23.232 
-0.0021094     0.715           26.360 
-0.0021094     0.725           29.797 
-0.0021094     0.735           33.555 
-0.0021094     0.745           37.643 
-0.0021454     0.245           36.906 
-0.0021454     0.255           32.747 
-0.0021454     0.265           28.927 
-0.0021454     0.275           25.438 
-0.0021454     0.285           22.267 
-0.0021454     0.295           19.402 
-0.0021454     0.305           16.829 
-0.0021454     0.315           14.534 
-0.0021454     0.325           12.499 
-0.0021454     0.335           10.709 
-0.0021454     0.345            9.146 
-0.0021454     0.355            7.792 
-0.0021454     0.365            6.630 
-0.0021454     0.375            5.641 
-0.0021454     0.385            4.808 
-0.0021454     0.395            4.114 
-0.0021454     0.405            3.542 
-0.0021454     0.415            3.076 
-0.0021454     0.425            2.703 
-0.0021454     0.435            2.408 
-0.0021454     0.445            2.180 
-0.0021454     0.455            2.009 
-0.0021454     0.465            1.885 
-0.0021454     0.475            1.802 
